Prof Avability,,,,,,,,
,,,,,,,,
,,,,,,,,
,Apr-16,,,,,,,
,Mon 18,,,,,,,
,9:00 AM - 10:00 AM,10:00 AM - 11:00 AM,11:00 AM - 12:00 PM,12:00 PM - 1:00 PM,1:00 PM - 2:00 PM,2:00 PM - 3:00 PM,3:00 PM - 4:00 PM,4:00 PM - 5:00 PM
Prof Jack Fisher,,,,,OK,OK,,
Prof Andrea Howell,,OK,,OK,,,OK,
Prof Marie King,OK,OK,OK,OK,,,,OK
Prof Kenneth Peters,OK,,OK,OK,OK,OK,OK,
Prof Thomas Green,OK,,OK,OK,,OK,,
Prof Maria Fuller,OK,OK,OK,,,,OK,
Prof Mildred Snyder,OK,OK,OK,OK,,,,
Prof Ryan Duncan,,OK,OK,,,,OK,OK
Prof Jeremy Bradley,,,,,OK,,,
Prof James Gonzalez,,,,,,,,
Prof Donna Hart,,OK,,OK,OK,OK,OK,
Prof Justin Hall,,,,,OK,OK,,OK
Prof Jessica Palmer,,,,OK,,,OK,OK
Prof Earl Adams,OK,,,OK,,OK,OK,
Prof Matthew Young,OK,OK,OK,OK,,,OK,OK
Prof Kathleen Thomas,OK,,,,,,,OK
Prof Judith Perez,OK,,OK,OK,,OK,OK,
Prof Irene Adams,OK,,,,,OK,,OK
Prof Christine Tucker,,OK,,OK,,,OK,
Prof Paul Carroll,,OK,OK,,,,,OK
Prof Douglas Fields,,,,,,,OK,OK
Prof Doris Burns,,OK,,OK,,,OK,OK
Prof Jacqueline Rice,OK,,OK,,OK,OK,,
Prof Ronald Carr,,OK,,OK,OK,OK,OK,
Prof Jeffrey Kelley,OK,OK,,OK,,,OK,OK
Prof Walter Chapman,,OK,,OK,,OK,,
Prof Laura Miller,,OK,OK,,,OK,,OK
Prof Debra Larson,,,OK,OK,OK,OK,OK,
Prof Mark Perry,OK,OK,OK,OK,,OK,OK,
Prof Karen Kelly,OK,,,,,OK,,OK
Prof Donald Castillo,OK,,OK,OK,,OK,OK,OK
Prof Charles Price,,,,OK,,,OK,
Prof Ruby Smith,OK,OK,OK,OK,,,,OK
Prof Emily Clark,OK,OK,OK,OK,,OK,,OK
Prof Amanda Woods,,,OK,OK,OK,OK,OK,
Prof Kelly Fernandez,,,,,,,OK,
Prof Howard George,,OK,OK,OK,,,,
Prof Margaret Patterson,,OK,,OK,OK,,,
Prof Joyce Simmons,OK,OK,OK,OK,,,,OK
Prof Daniel Mccoy,,,OK,,,OK,OK,OK
Prof Phyllis Cook,OK,,,OK,OK,,,OK
Prof Andrew Evans,,OK,,OK,OK,OK,OK,
Prof Lawrence Thompson,OK,OK,,OK,,,,
Prof David Clark,,,,OK,OK,OK,OK,
Prof Brandon Butler,,OK,OK,,OK,,OK,
Prof Marie Lawrence,,OK,,,,,,
Prof Wayne Gilbert,,OK,OK,OK,,OK,,OK
Prof Harold Williamson,,OK,OK,,OK,,,
Prof Wayne Price,OK,OK,,,,OK,,OK
Prof Margaret Powell,,OK,OK,OK,,OK,OK,
