Prof Avability,,,,,,,,
,,,,,,,,
,,,,,,,,
,Apr-16,,,,,,,
,Mon 18,,,,,,,
,9:00 AM - 10:00 AM,10:00 AM - 11:00 AM,11:00 AM - 12:00 PM,12:00 PM - 1:00 PM,1:00 PM - 2:00 PM,2:00 PM - 3:00 PM,3:00 PM - 4:00 PM,4:00 PM - 5:00 PM
Prof Albert Wood,,OK,OK,,OK,,,OK
Prof Louis Myers,OK,,OK,,OK,OK,OK,OK
Prof Douglas Hawkins,,,OK,,OK,OK,,OK
Prof Kelly Lawrence,,OK,OK,,,,,
Prof Gerald Carpenter,,,,,OK,,,
Prof Nancy Long,OK,,,OK,OK,,,
Prof Christina King,OK,,OK,OK,OK,OK,,
Prof Julie Moore,,OK,,,OK,,,OK
Prof Anthony Daniels,OK,OK,,,OK,,OK,OK
Prof Julie Taylor,OK,,,,,OK,,OK
Prof Nicholas Robertson,OK,,OK,OK,,OK,OK,OK
Prof Susan Black,,,OK,OK,OK,,OK,OK
Prof Ann Jacobs,OK,,,,,OK,OK,
Prof Steven Dixon,,,OK,OK,OK,OK,,OK
Prof Gloria Ferguson,OK,,OK,OK,,OK,OK,OK
Prof Patricia Fernandez,OK,OK,,OK,,,OK,
Prof Howard George,,OK,OK,OK,OK,OK,OK,
Prof Antonio Daniels,OK,,,OK,,,,OK
Prof Pamela Graham,,OK,,OK,,OK,,OK
Prof Marie King,OK,,OK,,,,OK,
Prof Margaret Ward,,,,,,OK,OK,
Prof Keith Lawson,OK,OK,OK,,,,OK,OK
Prof Adam Fowler,,OK,OK,,OK,,,OK
Prof Christine Garza,OK,,,,,,,
Prof Paula Stephens,,,,,,OK,OK,
Prof Nicholas Medina,,,OK,OK,,OK,OK,OK
Prof Lawrence Ryan,,,OK,,OK,OK,,
Prof Randy Mason,,,,,OK,OK,,
Prof Rose Franklin,OK,OK,,OK,,,OK,OK
Prof Steve Gilbert,OK,OK,,OK,OK,,,OK
Prof Mary Shaw,,OK,,,,,,OK
Prof Christine Tucker,,,OK,,,,,
Prof Aaron Fox,OK,,OK,OK,OK,OK,,
